SENARYO,VERSION,TRETE,KUR,ACENTE_NO,BRANS_KODU,SEGMENT,TARIFE,YIL,TARIH,HEDEF,DATA_KAYNAK,KAYNAK_KODU,SUBE_KOD,LOB,ACENTE_ADI,TRAFIK_HAVUZ,YENI_YENILEME
,,,,8483,510,PERSONAL LINES,N21,2024,30.04.2024,"0,00",Acente-Bireysel,9,1,Marine Aviation & Transport,,,Yeni
,,,,8483,520,SMALL BUSINESS,Y70,2024,30.04.2024,"0,00",Acente-Bireysel,9,1,Property,,,Yeni
,,,,8483,519,PERSONAL LINES,CF4,2024,30.04.2024,"199,63",Acente-Bireysel,9,1,Accident,,,Yeni
,,,,8483,516,PERSONAL LINES,K60,2024,30.04.2024,"33646,83",Acente-Bireysel,9,1,Motor 3rd Party Liability,,,Yenileme
,,,,8483,524,SMALL BUSINESS,Y70,2024,31.05.2024,"0,00",Acente-Bireysel,9,1,Property,,,Yeni
,,,,8483,572,MIDDLE MARKET,M04,2024,31.05.2024,"3766,34",Acente-Bireysel,9,1,Property Engineering Lines,,,Yeni
,,,,8483,501,MIDDLE MARKET,Y62,2024,31.05.2024,"0,00",Acente-Bireysel,9,1,Property,,,Yeni
,,,,8483,524,MIDDLE MARKET,Y62,2024,31.05.2024,"0,00",Acente-Bireysel,9,1,Property,,,Yeni
,,,,8483,592,MIDDLE MARKET,D42,2024,31.05.2024,"2152,19",Acente-Bireysel,9,1,Liability - Primary Products,,,Yeni
,,,,8483,517,PERSONAL LINES,K60,2024,31.05.2024,"211608,65",Acente-Bireysel,9,1,Motor All Others,,,Yenileme
,,,,8483,501,SMALL BUSINESS,Y70,2024,31.05.2024,"0,00",Acente-Bireysel,9,1,Property,,,Yeni
,,,,8483,571,SMALL BUSINESS,Y70,2024,31.05.2024,"0,00",Acente-Bireysel,9,1,Property Engineering Lines,,,Yeni
,,,,8483,560,SMALL BUSINESS,Y70,2024,31.05.2024,"0,00",Acente-Bireysel,9,1,Legal Expenses,,,Yeni
,,,,8483,998,SMALL BUSINESS,Y70,2024,31.05.2024,"0,00",Acente-Bireysel,9,1,Property,,,Yeni
,,,,8483,565,SMALL BUSINESS,Y70,2024,31.05.2024,"0,00",Acente-Bireysel,9,1,Property,,,Yeni
,,,,8483,565,MIDDLE MARKET,M04,2024,31.05.2024,"12913,15",Acente-Bireysel,9,1,Property,,,Yeni
,,,,8483,502,SMALL BUSINESS,Y70,2024,31.05.2024,"0,00",Acente-Bireysel,9,1,Property,,,Yeni
,,,,8483,588,MIDDLE MARKET,F16,2024,31.05.2024,"269,02",Acente-Bireysel,9,1,Directors And Officers (incl. PTL/ EPL),,,Yeni
,,,,8483,526,SMALL BUSINESS,Z02,2024,31.05.2024,"538,05",Acente-Bireysel,9,1,Liability - Primary Products,,,Yeni
,,,,8483,517,PERSONAL LINES,K60,2024,31.05.2024,"117801,06",Acente-Bireysel,9,1,Motor All Others,,,Yeni
,,,,8483,502,MIDDLE MARKET,Y62,2024,31.05.2024,"0,00",Acente-Bireysel,9,1,Property,,,Yeni
,,,,8483,516,PERSONAL LINES,K60,2024,31.05.2024,"23512,07",Acente-Bireysel,9,1,Motor 3rd Party Liability,,,Yenileme
